Model,Val MSE,Throttle MAE,Steer MAE,Brake MAE,Steer R²,Params (M),Train Time
baseline_cnn,0.014208661882283287,0.07776673541496532,0.007745807795875066,0.04366882742489512,0.8995887,11.4,963m
cnn_gru,0.023907581314954574,0.1272691304103629,0.012052265510785518,0.07099686805164597,0.8357575,12.3,303m
gru_only,0.030015969700075175,0.14478546081411225,0.01787488494841471,0.08894059403862367,0.0012390614,78.2,529m
