model,town,weather,episode,control_mode,route_completion,collisions,lane_invasions,phantom_brake_events,average_speed_kmh,episode_time_sec,total_distance_km,avg_applied_throttle,avg_model_brake,avg_applied_brake,throttle_assist_active_ratio,emergency_override_count,avg_abs_heading_error_deg,avg_abs_lateral_error_m,avg_lane_assist_steer,lane_assist_active_ratio,success
baseline_cnn,Town03,clear,0,assist_throttle,0.1659986175947668,0,0,0,23.264085191710894,60.091705322265625,0.16704905616825727,0.3720099344117491,0.06849224817969726,0.019641122090516754,1.0,0,6.325890457478422,0.03940627661520177,0.07347001163628293,1.0,False
baseline_cnn,Town03,clear,1,assist_throttle,0.015810576933997178,0,0,0,2.0801752861604235,60.06006979942322,0.016814750229796695,0.14592113877899332,0.40658331749147875,0.1271455579320169,1.0,0,32.19248250194332,0.17867903855940998,0.45876074056636634,1.0,False
baseline_cnn,Town03,clear,2,assist_throttle,0.1857173701338287,0,0,0,25.05196824101416,60.02305340766907,0.18997742582769084,0.41256650091309205,0.06246933234418869,0.05025426504703669,1.0,0,2.790653405568584,0.08736590318443774,0.023498776189964644,1.0,False
baseline_cnn,Town03,clear,3,assist_throttle,0.08096275738094584,0,0,150,10.668683462347168,60.06866526603699,0.08105235908199847,0.18235676483218805,0.14831609793826325,0.4097989031078589,1.0,0,0.31048109510539423,0.011832653861785876,0.014057194549400399,1.0,False
baseline_cnn,Town03,clear,4,assist_throttle,0.09304702894782775,0,0,252,12.144348932149564,60.042545318603516,0.09327534665942627,0.21641438406587296,0.21816544561305,0.34707285858299897,1.0,0,1.0634047745125923,0.059436165957962736,0.033309992591152256,1.0,False
baseline_cnn,Town03,clear,5,assist_throttle,0.16577915097177842,0,0,0,20.345881129804567,60.09677004814148,0.166723192591454,0.3384503371351843,0.10268563757950472,0.07789482641826241,1.0,0,11.485764678967524,0.047988706129118375,0.12567024971076174,1.0,False
baseline_cnn,Town03,clear,6,assist_throttle,0.00033215621847439586,0,0,0,0.0496009756086109,60.03514504432678,0.0003947410975518607,0.12498644848352576,0.4044783677073621,0.0769284467713777,1.0,0,8.371520286696287,0.5520830693316484,0.35451122209458263,1.0,False
baseline_cnn,Town03,clear,7,assist_throttle,0.13076123508938445,0,2,72,19.434822102532515,60.0887496471405,0.15628836107453212,0.3569118007528553,0.0942868556174255,0.13521511741046904,1.0,0,2.6413194574193595,0.11892043312401561,0.0220451677609341,1.0,False
baseline_cnn,Town03,clear,8,assist_throttle,0.028128097227030215,1,0,224,3.66122441060667,60.02395677566528,0.02918809460678098,0.06615197369342067,0.43337057568684534,0.6222496412201155,1.0,0,0.07373746037378037,0.001672267728111857,0.0011032688289959838,1.0,False
baseline_cnn,Town03,clear,9,assist_throttle,0.023508764098373828,0,0,0,2.965178648577518,60.086838483810425,0.02355669704147684,0.07607308376085509,0.4432606653455267,0.6109305709704597,1.0,0,3.884436475556951e-05,0.0,6.420608396307805e-07,1.0,False
cnn_gru,Town03,clear,0,assist_throttle,0.04270184373601404,0,0,0,20.724678728277013,60.05544567108154,0.042888571257128826,0.466978611822786,0.08018004221135172,0.0,1.0,0,7.092938609204203e-05,0.0,8.667679725438866e-07,1.0,False
cnn_gru,Town03,clear,1,assist_throttle,0.016099292871331924,0,0,0,9.659640825713156,60.510212421417236,0.01636772473245841,0.3298796455738908,0.259821986519116,0.21526485024872466,1.0,0,0.0013377714654788382,0.0,1.942788792175987e-05,1.0,False
cnn_gru,Town03,clear,2,assist_throttle,0.020549416189727873,0,0,0,11.561060805958164,60.134565353393555,0.021355848433228273,0.5068572669528252,0.11930578303082968,0.068701399527779,1.0,0,0.09439611853486954,0.0,0.0015379563851681255,1.0,False
cnn_gru,Town03,clear,3,assist_throttle,0.025779536633028212,0,0,0,15.698080142628072,60.27731394767761,0.025945438013510288,0.44034610364748084,0.02414965966473455,0.0,1.0,0,0.002200137128340853,0.0,2.570581687062372e-05,1.0,False
cnn_gru,Town03,clear,4,assist_throttle,0.032793127412666725,0,0,0,18.284778196791876,60.359363079071045,0.03301418285531865,0.47681378939795116,0.029391233875815357,0.0,1.0,0,0.015547789676973522,0.0,0.00010788916637976738,1.0,False
cnn_gru,Town03,clear,5,assist_throttle,0.029833701497109812,0,0,0,16.896120037104545,60.2224018573761,0.030741551734176326,0.4283935277011451,0.08308075388937484,0.0011394086550539874,1.0,0,6.778456296367718,0.14089658971115443,0.08896439267793853,1.0,False
cnn_gru,Town03,clear,6,assist_throttle,0.0383525440839419,0,0,0,19.820506859035635,60.00183415412903,0.03853987444812488,0.45707828989800287,0.02352431178202524,0.0,1.0,0,0.000262860769348738,0.0,3.5412318787538846e-06,1.0,False
