model,town,weather,episode,control_mode,route_completion,collisions,lane_invasions,phantom_brake_events,average_speed_kmh,episode_time_sec,total_distance_km,avg_applied_throttle,avg_model_brake,avg_applied_brake,throttle_assist_active_ratio,emergency_override_count,avg_abs_heading_error_deg,avg_abs_lateral_error_m,avg_lane_assist_steer,lane_assist_active_ratio,success
cnn_gru,Town03,clear,7,assist_throttle,0.036548095280347914,0,0,0,20.043845106219088,60.094829082489014,0.03674704936140166,0.4807958083692938,0.034021454048343,0.0,1.0,0,0.00024398961031322973,0.0,3.3583012310098375e-06,1.0,False
cnn_gru,Town03,clear,8,assist_throttle,5.133036285704761e-07,0,0,0,0.023527328766031093,60.54920268058777,4.444050989139208e-05,0.5739742964506149,0.21497539667920632,0.09428366169785013,1.0,0,0.0006365918466614515,0.15205236550293177,0.2060240794883002,1.0,False
cnn_gru,Town03,clear,9,assist_throttle,0.03486920275781414,0,0,0,17.897148803886747,60.04677128791809,0.035048583074278224,0.4411616913158528,0.03765681721134125,0.0,1.0,0,0.00021647219747422962,0.0,3.501012782195283e-06,1.0,False
gru_only,Town03,clear,0,assist_throttle,0.0370852533324581,0,0,0,13.79587840866804,60.06523370742798,0.037172227934466645,0.5131118654263647,0.204885724775101,0.11923953730809071,1.0,0,5.8984826217404487e-05,0.0,8.732283645658315e-07,1.0,False
gru_only,Town03,clear,1,assist_throttle,0.04019136059650987,0,0,0,14.223632923509532,60.042280435562134,0.04069539419781894,0.5178645687823248,0.1849978267039993,0.12269118534456391,1.0,0,3.883564458169646,0.0910790454504433,0.03068300074283456,1.0,False
gru_only,Town03,clear,2,assist_throttle,0.02531529114248856,0,0,62,8.738658761328093,60.04022192955017,0.025366384459966286,0.3074371048357428,0.4555644946490846,0.3410840376412004,1.0,0,0.3987472429415354,0.02465413322184092,0.030189643617196574,1.0,False
gru_only,Town03,clear,3,assist_throttle,0.039096349408900034,0,0,0,13.192726698435138,60.197052001953125,0.03921171546479334,0.4871541586944035,0.23683414611788023,0.1567067104861851,1.0,0,0.575701504642052,0.00415014272085988,0.009736507409021211,1.0,False
gru_only,Town03,clear,4,assist_throttle,0.038029875074472565,0,0,0,12.759360238288577,60.18934965133667,0.03810086737822285,0.4911468625916124,0.1932938203427464,0.16999864541523838,1.0,0,0.0018201025988053862,0.0,2.5297975620734657e-05,1.0,False
gru_only,Town03,clear,5,assist_throttle,0.0414611437418116,0,0,0,14.246390395969161,60.07718801498413,0.04155197198824341,0.514553217372848,0.18884070745660264,0.12615874178201256,1.0,0,0.08790277216040993,0.0,0.0014225972502261398,1.0,False
gru_only,Town03,clear,6,assist_throttle,0.040170971355280624,0,0,0,14.081983795300742,60.08406066894531,0.04029012030322156,0.5183254349349748,0.18514075635535882,0.1261570586426424,1.0,0,0.0007331799397566617,0.0,1.1074983634256368e-05,1.0,False
gru_only,Town03,clear,7,assist_throttle,0.04113086564057769,0,0,0,14.27640057018697,60.22336149215698,0.041242934980540095,0.5146375643564205,0.196726701532801,0.13488799958836806,1.0,0,0.0952167660506826,0.00664103876265768,0.005675873486898777,1.0,False
gru_only,Town03,clear,8,assist_throttle,0.0,0,0,0,0.015518139062358199,60.25258684158325,4.5261238931878086e-05,0.11941747572815578,0.9876860261542125,0.18776699029126218,1.0,0,0.6988102149744789,0.29922526773623304,0.38015382764168104,1.0,False
gru_only,Town03,clear,9,assist_throttle,0.04130967756436647,0,0,0,14.264019420237593,60.28455662727356,0.04140527859485635,0.5159510805257936,0.18601661575276676,0.1260713028617023,1.0,0,0.07736910716859355,0.0,0.0006323035825092807,1.0,False
